SnotelDate,WaterCurrentAverage,WaterPctAverage,SnowCurrent,WaterCurrent,SnowMedian,SnowPctMedian,LocationID
20140101,0,0,40,108,0,0,Trinity
20140102,0,0,39,108,0,0,Trinity
20140103,0,0,43,112,0,0,Trinity
20140104,0,0,45,112,0,0,Trinity
20140105,0,0,42,112,0,0,Trinity
20140106,0,0,43,112,0,0,Trinity
20140107,0,0,40,112,0,0,Trinity
20140108,0,0,43,113,0,0,Trinity
20140109,0,0,54,123,0,0,Trinity
20140110,0,0,60,130,0,0,Trinity
20140111,0,0,67,137,0,0,Trinity
20140112,0,0,88,162,0,0,Trinity
20140113,0,0,95,170,0,0,Trinity
20140114,0,0,93,170,0,0,Trinity
20140115,0,0,92,170,0,0,Trinity
20140116,0,0,92,170,0,0,Trinity
20140117,0,0,92,170,0,0,Trinity
20140118,0,0,91,170,0,0,Trinity
20140119,0,0,89,170,0,0,Trinity
20140120,0,0,87,170,0,0,Trinity
20140121,0,0,88,170,0,0,Trinity
20140122,0,0,91,170,0,0,Trinity
20140123,0,0,92,170,0,0,Trinity
20140124,0,0,92,170,0,0,Trinity
20140125,0,0,92,170,0,0,Trinity
20140126,0,0,93,170,0,0,Trinity
20140127,0,0,92,170,0,0,Trinity
20140128,0,0,92,170,0,0,Trinity
20140129,0,0,94,172,0,0,Trinity
20140130,0,0,101,179,0,0,Trinity
20140131,0,0,102,181,0,0,Trinity
20140201,0,0,102,181,0,0,Trinity
20140202,0,0,102,181,0,0,Trinity
20140203,0,0,103,181,0,0,Trinity
20140204,0,0,103,181,0,0,Trinity
20140205,0,0,104,181,0,0,Trinity
20140206,0,0,104,181,0,0,Trinity
20140207,0,0,107,181,0,0,Trinity
20140208,0,0,107,182,0,0,Trinity
20140209,0,0,108,184,0,0,Trinity
20140210,0,0,110,186,0,0,Trinity
20140211,0,0,127,204,0,0,Trinity
20140212,0,0,136,212,0,0,Trinity
20140213,0,0,148,224,0,0,Trinity
20140214,0,0,156,232,0,0,Trinity
20140215,0,0,167,243,0,0,Trinity
20140216,0,0,177,254,0,0,Trinity
20140217,0,0,185,264,0,0,Trinity
20140218,0,0,202,280,0,0,Trinity
20140219,0,0,224,302,0,0,Trinity
20140220,0,0,228,306,0,0,Trinity
20140221,0,0,234,312,0,0,Trinity
20140222,0,0,234,312,0,0,Trinity
20140223,0,0,237,315,0,0,Trinity
20140224,0,0,245,323,0,0,Trinity
20140225,0,0,258,336,0,0,Trinity
20140226,0,0,259,337,0,0,Trinity
20140227,0,0,260,338,0,0,Trinity
20140228,0,0,259,338,0,0,Trinity
20140301,0,0,260,338,0,0,Trinity
20140302,0,0,266,342,0,0,Trinity
20140303,0,0,282,358,0,0,Trinity
20140304,0,0,298,374,0,0,Trinity
20140305,0,0,308,384,0,0,Trinity
20140306,0,0,336,412,0,0,Trinity
20140307,0,0,327,424,0,0,Trinity
20140308,0,0,323,424,0,0,Trinity
20140309,0,0,344,441,0,0,Trinity
20140310,0,0,333,444,0,0,Trinity
20140311,0,0,325,444,0,0,Trinity
20140312,0,0,323,444,0,0,Trinity
20140313,0,0,321,444,0,0,Trinity
20140314,0,0,316,445,0,0,Trinity
20140315,0,0,315,449,0,0,Trinity
20140316,0,0,317,454,0,0,Trinity
20140317,0,0,313,459,0,0,Trinity
20140318,0,0,309,459,0,0,Trinity
20140319,0,0,308,459,0,0,Trinity
20140320,0,0,311,463,0,0,Trinity
20140321,0,0,312,463,0,0,Trinity
20140322,0,0,313,463,0,0,Trinity
20140323,0,0,312,466,0,0,Trinity
20140324,0,0,311,466,0,0,Trinity
20140325,0,0,309,466,0,0,Trinity
20140326,0,0,308,468,0,0,Trinity
20140327,0,0,306,468,0,0,Trinity
20140328,0,0,303,468,0,0,Trinity
20140329,0,0,308,473,0,0,Trinity
20140330,0,0,309,477,0,0,Trinity
20140331,0,0,306,477,0,0,Trinity
20140401,0,0,302,477,0,0,Trinity
20140402,0,0,298,477,0,0,Trinity
20140403,0,0,292,477,0,0,Trinity
20140404,0,0,288,477,0,0,Trinity
20140405,0,0,284,477,0,0,Trinity
20140406,0,0,280,479,0,0,Trinity
20140407,0,0,276,479,0,0,Trinity
20140408,0,0,268,479,0,0,Trinity
20140409,0,0,262,481,0,0,Trinity
20140410,0,0,253,481,0,0,Trinity
20140411,0,0,247,481,0,0,Trinity
20140412,0,0,240,481,0,0,Trinity
20140413,0,0,233,481,0,0,Trinity
20140414,0,0,228,481,0,0,Trinity
20140415,0,0,219,481,0,0,Trinity
20140416,0,0,213,481,0,0,Trinity
20140417,0,0,208,481,0,0,Trinity
20140418,0,0,205,486,0,0,Trinity
20140419,0,0,198,486,0,0,Trinity
20140420,0,0,191,489,0,0,Trinity
20140421,0,0,189,489,0,0,Trinity
20140422,0,0,184,490,0,0,Trinity
20140423,0,0,177,490,0,0,Trinity
20140424,0,0,173,492,0,0,Trinity
20140425,0,0,172,502,0,0,Trinity
20140426,0,0,168,502,0,0,Trinity
20140427,0,0,159,502,0,0,Trinity
20140428,0,0,157,504,0,0,Trinity
20140429,0,0,154,504,0,0,Trinity
20140430,0,0,144,504,0,0,Trinity
20140501,0,0,134,504,0,0,Trinity
